date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,gdp_per_capita
12/31/2019,0,0,0,0,,,,,,,,,212559409,25.04,14103.452
1/1/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/2/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/3/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/4/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/5/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/6/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/7/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/8/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/9/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/10/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/11/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/12/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/13/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/14/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/15/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/16/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/17/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/18/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/19/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/20/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/21/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/22/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/23/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/24/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/25/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/26/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/27/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/28/2020,0,0,0,0,,,,,,,,0,212559409,25.04,14103.452
1/29/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
1/30/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
1/31/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/1/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/2/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/3/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/4/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/5/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/6/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/7/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/8/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/9/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/10/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/11/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/12/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/13/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/14/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/15/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/16/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/17/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/18/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/19/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/20/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/21/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/22/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/23/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/24/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/25/2020,0,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/26/2020,1,1,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/27/2020,1,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
2/28/2020,1,0,0,0,,,,,,,,5.56,212559409,25.04,14103.452
